Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1041152821851123713.txt,1,27,56.91,50.00,33.94,99.00,27.00,14.81,62.96,40.74,11.11,7.41,0.00,3.70,0.00,0.00,3.70,3.70,0.00,11.11,7.41,3.70,3.70,3.70,7.41,3.70,0.00,0.00,0.00,3.70,7.41,7.41,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,18.52,0.00,3.70,0.00,7.41,0.00,7.41,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,3.70,3.70,7.41,3.70,0.00,3.70,0.00,3.70,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,3.70,0.00,3.70,0.00,22.22,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
1041273264272596993.txt,1,22,87.93,67.52,11.00,25.77,11.00,31.82,40.91,13.64,4.55,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,9.09,4.55,0.00,4.55,0.00,0.00,0.00,4.55,0.00,13.64,0.00,9.09,4.55,9.09,0.00,0.00,4.55,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,36.36,13.64,13.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09
1041400318989234176.txt,1,22,93.26,67.52,31.94,25.77,11.00,31.82,54.55,18.18,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,9.09,4.55,0.00,0.00,0.00,4.55,9.09,0.00,0.00,0.00,4.55,9.09,4.55,4.55,0.00,4.55,0.00,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,4.55,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,59.09,13.64,4.55,0.00,0.00,0.00,0.00,0.00,0.00,22.73,9.09,9.09
1041566272159457285.txt,1,24,72.69,66.17,1.79,25.77,24.00,16.67,37.50,20.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,8.33,4.17,4.17,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,8.33,0.00,8.33,0.00,4.17,0.00,0.00,4.17,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,29.17,8.33,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,12.50
1041623079963828224.txt,1,24,99.00,50.00,48.89,25.77,12.00,25.00,58.33,29.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,8.33,12.50,4.17,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,4.17,0.00,0.00,4.17,12.50,0.00,20.83,8.33,8.33,4.17,4.17,0.00,0.00,0.00,0.00,0.00,8.33,0.00,4.17,4.17,0.00,0.00,25.00,12.50,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
1041756022644256768.txt,1,28,97.73,85.81,13.15,25.77,28.00,14.29,60.71,35.71,7.14,3.57,0.00,0.00,3.57,0.00,0.00,3.57,3.57,17.86,3.57,0.00,3.57,0.00,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,0.00,0.00,0.00,7.14,0.00,0.00,7.14,3.57,0.00,3.57,3.57,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,3.57,3.57,0.00,0.00,3.57,7.14,0.00,17.86,0.00,17.86,0.00,3.57,0.00,0.00,0.00,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,21.43,7.14,3.57,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,7.14
1042962861775937536.txt,1,24,99.00,50.00,23.51,92.40,12.00,25.00,58.33,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,16.67,0.00,0.00,8.33,0.00,4.17,12.50,4.17,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,4.17,0.00,0.00,0.00,4.17,4.17,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,16.67,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,20.83,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
1042983262283395072.txt,1,21,99.00,50.00,89.63,25.77,21.00,33.33,66.67,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.76,0.00,0.00,0.00,0.00,4.76,4.76,4.76,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,4.76,9.52,0.00,0.00,9.52,0.00,0.00,4.76,0.00,0.00,28.57,4.76,9.52,14.29,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,28.57,9.52,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
1042983697765388288.txt,1,23,88.21,98.44,1.00,1.00,11.50,26.09,69.57,30.43,8.70,8.70,0.00,0.00,0.00,4.35,4.35,0.00,0.00,13.04,4.35,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,8.70,0.00,21.74,4.35,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,13.04,0.00,0.00,0.00,4.35,0.00,4.35,0.00,4.35,0.00,17.39,0.00,0.00,0.00,0.00,4.35,4.35,0.00,4.35,0.00,0.00,0.00,26.09,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,8.70
1042986990575087617.txt,1,27,26.77,93.07,79.42,99.00,13.50,14.81,66.67,37.04,22.22,22.22,11.11,0.00,11.11,0.00,0.00,0.00,0.00,3.70,3.70,0.00,7.41,0.00,7.41,0.00,0.00,0.00,3.70,0.00,7.41,7.41,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,7.41,0.00,0.00,3.70,3.70,0.00,7.41,0.00,3.70,3.70,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,3.70,0.00,0.00,0.00,25.93,11.11,3.70,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,7.41
1042990745450250240.txt,1,26,88.90,64.99,1.40,1.00,8.67,15.38,50.00,19.23,3.85,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,7.69,3.85,0.00,3.85,0.00,11.54,0.00,0.00,0.00,7.69,0.00,3.85,0.00,3.85,0.00,3.85,0.00,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,11.54,0.00,7.69,3.85,11.54,0.00,0.00,0.00,3.85,3.85,3.85,0.00,3.85,0.00,0.00,0.00,30.77,15.38,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69
1043003670885847047.txt,1,25,96.24,34.44,69.14,25.77,12.50,28.00,56.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,4.00,4.00,4.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,0.00,8.00,0.00,0.00,16.00,4.00,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,24.00,12.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
1043007694758498305.txt,1,25,99.00,50.00,6.70,1.00,12.50,20.00,64.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,16.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00,0.00,0.00,0.00,4.00,0.00,12.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,20.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,8.00
