Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1036249372839829504.txt,1,26,93.26,64.99,38.39,1.00,13.00,19.23,65.38,30.77,7.69,3.85,3.85,0.00,0.00,0.00,0.00,3.85,0.00,15.38,3.85,0.00,3.85,0.00,11.54,0.00,0.00,0.00,3.85,3.85,3.85,0.00,3.85,0.00,0.00,0.00,11.54,0.00,0.00,3.85,0.00,15.38,7.69,0.00,3.85,7.69,3.85,3.85,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,7.69,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,26.92,11.54,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69
1036275106945716224.txt,1,13,24.14,6.21,17.46,25.77,13.00,7.69,46.15,38.46,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,7.69,7.69,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,30.77,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08
1036435761531441153.txt,1,27,56.91,22.95,33.94,25.77,13.50,11.11,66.67,33.33,7.41,0.00,0.00,0.00,0.00,0.00,0.00,7.41,3.70,7.41,3.70,3.70,7.41,7.41,7.41,14.81,3.70,0.00,0.00,0.00,7.41,3.70,3.70,0.00,0.00,0.00,7.41,0.00,0.00,0.00,3.70,7.41,0.00,0.00,0.00,0.00,0.00,7.41,7.41,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,0.00,3.70,3.70,0.00,11.11,0.00,7.41,3.70,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,7.41,0.00,0.00,0.00,29.63,18.52,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
1036438019593519104.txt,1,25,88.69,50.00,1.00,99.00,12.50,16.00,68.00,36.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,16.00,0.00,8.00,4.00,4.00,0.00,12.00,12.00,4.00,0.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,4.00,0.00,0.00,12.00,0.00,4.00,0.00,4.00,0.00,4.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,36.00,20.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
1036515490745659392.txt,1,23,88.21,98.44,2.02,93.61,7.67,21.74,60.87,39.13,8.70,8.70,0.00,4.35,4.35,0.00,0.00,0.00,0.00,17.39,8.70,4.35,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,13.04,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,8.70,8.70,8.70,4.35,0.00,0.00,8.70,4.35,8.70,0.00,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,56.52,17.39,4.35,4.35,0.00,0.00,0.00,0.00,0.00,8.70,0.00,21.74
1036831382037819394.txt,1,25,99.00,50.00,1.00,25.77,25.00,32.00,20.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,40.00,8.00,16.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
1036862187304714241.txt,1,24,27.87,50.00,7.84,92.40,24.00,12.50,45.83,20.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,8.33,12.50,16.67,0.00,12.50,4.17,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,41.67,8.33,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,8.33,12.50
1036905134255759360.txt,1,20,99.00,69.14,1.00,96.76,20.00,20.00,55.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,25.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00
1036923690577874944.txt,1,24,99.00,66.17,48.89,1.00,24.00,25.00,54.17,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,20.83,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,20.83,0.00,12.50,8.33,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
1036932613703790592.txt,1,25,99.00,50.00,6.70,25.77,12.50,16.00,32.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,12.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,12.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,40.00,8.00,4.00,0.00,4.00,0.00,4.00,0.00,0.00,4.00,0.00,16.00
